job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary_in_usd,company_location,company_size,job_category,log_salary
Data Engineer,Mid-level,Full-time,Remote,2024,United States,148100,United States,Medium,Data Engineering,11.90564300025589
Data Engineer,Mid-level,Full-time,Remote,2024,United States,98700,United States,Medium,Data Engineering,11.499840225421574
Data Scientist,Senior-level,Full-time,Remote,2024,United States,140032,United States,Medium,Data Science,11.849626246901543
Data Scientist,Senior-level,Full-time,Remote,2024,United States,100022,United States,Medium,Data Science,11.513145440773776
BI Developer,Mid-level,Full-time,On-site,2024,United States,120000,United States,Medium,Other,11.695247021764184
BI Developer,Mid-level,Full-time,On-site,2024,United States,62100,United States,Medium,Other,11.03650126792157
Research Analyst,Entry-level,Full-time,On-site,2024,United States,250000,United States,Medium,Data Analysis,12.429216196844383
Research Analyst,Entry-level,Full-time,On-site,2024,United States,150000,United States,Medium,Data Analysis,11.918390573078392
Data Engineer,Executive-level,Full-time,Remote,2024,United States,219650,United States,Medium,Data Engineering,12.299790649403926
Data Engineer,Executive-level,Full-time,Remote,2024,United States,136000,United States,Medium,Data Engineering,11.820410164718188
Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,87800,United States,Medium,Other,11.382816779623209
Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,76300,United States,Medium,Other,11.242428217272549
Data Scientist,Mid-level,Full-time,Remote,2024,United States,148100,United States,Medium,Data Science,11.90564300025589
Data Scientist,Mid-level,Full-time,Remote,2024,United States,98700,United States,Medium,Data Science,11.499840225421574
Data Engineer,Mid-level,Full-time,On-site,2024,United States,145500,United States,Medium,Data Engineering,11.887931365593685
Data Engineer,Mid-level,Full-time,On-site,2024,United States,93000,United States,Medium,Data Engineering,11.440354772135393
Data Scientist,Mid-level,Full-time,On-site,2024,United States,85000,United States,Medium,Data Science,11.350406535472453
Data Scientist,Mid-level,Full-time,On-site,2024,United States,75000,United States,Medium,Data Science,11.225243392518447
Data Scientist,Mid-level,Full-time,On-site,2024,United States,105000,United States,Medium,Data Science,11.56171562913966
Data Scientist,Mid-level,Full-time,On-site,2024,United States,70000,United States,Medium,Data Science,11.156250521031495
Data Engineer,Senior-level,Full-time,On-site,2024,United States,204662,United States,Medium,Data Engineering,12.229115116898285
Data Engineer,Senior-level,Full-time,On-site,2024,United States,184662,United States,Medium,Data Engineering,12.126282405983877
Data Scientist,Mid-level,Full-time,On-site,2024,United States,179000,United States,Medium,Data Science,12.095141084822892
Data Scientist,Mid-level,Full-time,On-site,2024,United States,112000,United States,Medium,Data Science,11.626254150277232
Data Analyst,Entry-level,Full-time,On-site,2024,United States,115000,United States,Medium,Data Analysis,11.652687407345388
Data Analyst,Entry-level,Full-time,On-site,2024,United States,85000,United States,Medium,Data Analysis,11.350406535472453
Director of Data Science,Executive-level,Full-time,On-site,2024,United States,225000,United States,Medium,Other,12.323855681186558
Director of Data Science,Executive-level,Full-time,On-site,2024,United States,180000,United States,Medium,Other,12.100712129872347
MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,175000,United States,Medium,Machine Learning,12.072541252905651
MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,110000,United States,Medium,Machine Learning,11.608235644774552
Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,252000,United States,Medium,Machine Learning,12.437184366493561
Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,157500,United States,Medium,Machine Learning,11.967180737247824
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,267900,United States,Medium,Machine Learning,12.4983690555327
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,234700,United States,Medium,Machine Learning,12.366063381839115
Data Analyst,Entry-level,Full-time,On-site,2024,United States,195500,United States,Medium,Data Analysis,12.183315658407558
Data Analyst,Entry-level,Full-time,On-site,2024,United States,68000,United States,Medium,Data Analysis,11.127262984158243
Data Science Manager,Senior-level,Full-time,Remote,2024,United States,120000,United States,Medium,Management,11.695247021764184
